,predictor_Gaussian,estimate_Gaussian,t-value_Gaussian,predictor_Gaussian1,estimate_Gaussian1,t-value_Gaussian1,predictor_Gaussian2,estimate_Gaussian2,t-value_Gaussian2,predictor_Gaussian3,estimate_Gaussian3,t-value_Gaussian3,predictor_Gaussian4,estimate_Gaussian4,t-value_Gaussian4,predictor_Gaussian5,estimate_Gaussian5,t-value_Gaussian5,predictor_Gaussian6,estimate_Gaussian6,t-value_Gaussian6,predictor_ALD,estimate_ALD,t-value_ALD,predictor_ALD1,estimate_ALD1,t-value_ALD1,predictor_ALD2,estimate_ALD2,t-value_ALD2,predictor_ALD3,estimate_ALD3,t-value_ALD3,predictor_ALD4,estimate_ALD4,t-value_ALD4,predictor_ALD5,estimate_ALD5,t-value_ALD5,predictor_ALD6,estimate_ALD6,t-value_ALD6,predictor_Mixed,estimate_Mixed,t-value_Mixed,predictor_Mixed1,estimate_Mixed1,t-value_Mixed1,predictor_Mixed2,estimate_Mixed2,t-value_Mixed2,predictor_Mixed3,estimate_Mixed3,t-value_Mixed3,predictor_Mixed4,estimate_Mixed4,t-value_Mixed4,predictor_Mixed5,estimate_Mixed5,t-value_Mixed5,predictor_Mixed6,estimate_Mixed6,t-value_Mixed6
24,NN50:estCB,-0.5,-2.4,NN50:estCB,-0.5,-1.4,NN50:estCB,0.2,0.3,NN50:estCB,0.4,0.5,NN50:estCB,-0.2,-0.4,NN50:estCB,0.1,0.3,NN50:estCB,0.2,0.9,NN50:estCB,-0.4,-1.4,NN50:estCB,-0.3,-0.8,NN50:estCB,0.3,0.6,NN50:estCB,0.8,1,NN50:estCB,-0.2,-0.5,NN50:estCB,0.8,3.2,NN50:estCB,0.9,4.1,NN50:estCB,-0.5,-1.5,NN50:estCB,-0.3,-0.8,NN50:estCB,0.6,1.1,NN50:estCB,1,1.3,NN50:estCB,0.2,0.4,NN50:estCB,0.4,1.5,NN50:estCB,0.3,1.4
25,NN200:estCB,-0.6,-2.8,NN200:estCB,-0.5,-1.8,NN200:estCB,0.4,0.9,NN200:estCB,-0.2,-0.3,NN200:estCB,-0.3,-0.6,NN200:estCB,0.4,1.5,NN200:estCB,0.4,2,NN200:estCB,-1,-4.2,NN200:estCB,-1,-3.3,NN200:estCB,0,0.1,NN200:estCB,2.7,4,NN200:estCB,0.1,0.4,NN200:estCB,1,4.1,NN200:estCB,0.7,3.9,NN200:estCB,-1.1,-4.2,NN200:estCB,-1,-2.9,NN200:estCB,0.9,1.7,NN200:estCB,2.2,3.2,NN200:estCB,0.6,1.4,NN200:estCB,0.6,2.3,NN200:estCB,0.2,1.1
26,NN50:estGR,-0.2,-1,NN50:estGR,-0.1,-0.2,NN50:estGR,0.5,0.9,NN50:estGR,0.2,0.2,NN50:estGR,-0.6,-1,NN50:estGR,-0.1,-0.2,NN50:estGR,0,0.2,NN50:estGR,-0.2,-0.9,NN50:estGR,0.1,0.3,NN50:estGR,1,1.8,NN50:estGR,1.2,1.5,NN50:estGR,-0.5,-1.2,NN50:estGR,0.4,1.5,NN50:estGR,0.5,2.6,NN50:estGR,-0.2,-0.7,NN50:estGR,0.1,0.3,NN50:estGR,0.9,1.6,NN50:estGR,1.4,1.8,NN50:estGR,-0.3,-0.6,NN50:estGR,-0.1,-0.5,NN50:estGR,-0.1,-0.3
27,NN200:estGR,-0.1,-0.5,NN200:estGR,0.2,0.8,NN200:estGR,1.2,2.5,NN200:estGR,-0.4,-0.5,NN200:estGR,-1.2,-2.5,NN200:estGR,-0.2,-0.6,NN200:estGR,0.1,0.5,NN200:estGR,-0.5,-2.2,NN200:estGR,-0.3,-1,NN200:estGR,1.7,3.7,NN200:estGR,3.3,4.9,NN200:estGR,-0.9,-2.3,NN200:estGR,0.1,0.5,NN200:estGR,0.2,1.1,NN200:estGR,-0.5,-2,NN200:estGR,-0.1,-0.4,NN200:estGR,1.4,2.9,NN200:estGR,3,4.3,NN200:estGR,-0.5,-1.4,NN200:estGR,-0.3,-1.2,NN200:estGR,-0.2,-1.2
28,II0.5:RR5,0.8,3.7,II0.5:RR5,0.8,2.5,II0.5:RR5,-1,-1.8,II0.5:RR5,-4.8,-6.2,II0.5:RR5,-5.1,-9.2,II0.5:RR5,-3.5,-10.3,II0.5:RR5,-2.3,-9.8,II0.5:RR5,-0.4,-1.3,II0.5:RR5,-0.7,-2,II0.5:RR5,-0.9,-1.7,II0.5:RR5,-0.2,-0.2,II0.5:RR5,-3.7,-7.9,II0.5:RR5,-2.2,-8.4,II0.5:RR5,-1.8,-8.3,II0.5:RR5,1.3,3.9,II0.5:RR5,1.6,4,II0.5:RR5,2.8,5.1,II0.5:RR5,2.9,3.8,II0.5:RR5,-2.1,-4.5,II0.5:RR5,-1.7,-6.2,II0.5:RR5,-1.5,-6.6
29,II0.9:RR5,0.4,2,II0.9:RR5,0.5,1.5,II0.9:RR5,-0.3,-0.6,II0.9:RR5,-4.3,-5.9,II0.9:RR5,-5.6,-10.7,II0.9:RR5,-3.5,-10.8,II0.9:RR5,-2.2,-9.6,II0.9:RR5,0.4,1.3,II0.9:RR5,-0.1,-0.3,II0.9:RR5,-1,-2,II0.9:RR5,-1.9,-2.8,II0.9:RR5,-3.7,-8.3,II0.9:RR5,-2.2,-8.4,II0.9:RR5,-1.6,-7.9,II0.9:RR5,1.5,5.1,II0.9:RR5,1.8,4.9,II0.9:RR5,1.7,3.2,II0.9:RR5,-0.1,-0.1,II0.9:RR5,-2.1,-4.6,II0.9:RR5,-1.2,-4.5,II0.9:RR5,-1,-4.7
30,II0.5:RR10,1.5,7,II0.5:RR10,1.5,4.8,II0.5:RR10,-0.2,-0.4,II0.5:RR10,-3.5,-4.5,II0.5:RR10,-4,-7.2,II0.5:RR10,-3.4,-10.4,II0.5:RR10,-2.5,-11,II0.5:RR10,-0.2,-0.6,II0.5:RR10,-0.7,-2,II0.5:RR10,-1,-2.1,II0.5:RR10,-2.4,-3.3,II0.5:RR10,-4.9,-10.9,II0.5:RR10,-2.4,-9.5,II0.5:RR10,-1.7,-8.3,II0.5:RR10,1.2,4.1,II0.5:RR10,1.1,3,II0.5:RR10,1.1,2.1,II0.5:RR10,0,0,II0.5:RR10,-4.1,-9,II0.5:RR10,-2.8,-11,II0.5:RR10,-2.1,-10.3
31,II0.9:RR10,1.4,6.2,II0.9:RR10,1.3,4,II0.9:RR10,1.4,2.7,II0.9:RR10,-3.5,-4.8,II0.9:RR10,-4.3,-8.3,II0.9:RR10,-3,-9.5,II0.9:RR10,-2.2,-10,II0.9:RR10,1.4,5.2,II0.9:RR10,1,3,II0.9:RR10,1.9,3.9,II0.9:RR10,-3.1,-4.6,II0.9:RR10,-4.7,-10.9,II0.9:RR10,-2.5,-9.9,II0.9:RR10,-1.7,-8.3,II0.9:RR10,2,6.8,II0.9:RR10,1.8,5.2,II0.9:RR10,0.5,1,II0.9:RR10,-3.2,-4.6,II0.9:RR10,-3.5,-8.3,II0.9:RR10,-1.9,-7.4,II0.9:RR10,-1.6,-7.7
32,II0.5:anlDP_diffuse,-5.8,-25.9,II0.5:anlDP_diffuse,-7.7,-24.7,II0.5:anlDP_diffuse,-10.1,-18.9,II0.5:anlDP_diffuse,0.1,0.1,II0.5:anlDP_diffuse,9.1,16.8,II0.5:anlDP_diffuse,7.1,22,II0.5:anlDP_diffuse,5.6,24.3,II0.5:anlDP_diffuse,-9.1,-30.6,II0.5:anlDP_diffuse,-10,-27.4,II0.5:anlDP_diffuse,-10.1,-19.7,II0.5:anlDP_diffuse,-4.9,-6.7,II0.5:anlDP_diffuse,9.5,20.7,II0.5:anlDP_diffuse,5.5,21.1,II0.5:anlDP_diffuse,4.2,20.1,II0.5:anlDP_diffuse,-9,-28.2,II0.5:anlDP_diffuse,-10,-26.1,II0.5:anlDP_diffuse,-10.2,-19.4,II0.5:anlDP_diffuse,-5,-6.9,II0.5:anlDP_diffuse,8.7,18.9,II0.5:anlDP_diffuse,5.2,19.5,II0.5:anlDP_diffuse,4.2,19.8
33,II0.9:anlDP_diffuse,-6.2,-28.4,II0.9:anlDP_diffuse,-8.5,-27.7,II0.9:anlDP_diffuse,-11.8,-23.2,II0.9:anlDP_diffuse,-0.1,-0.1,II0.9:anlDP_diffuse,10.9,21.4,II0.9:anlDP_diffuse,8,25.5,II0.9:anlDP_diffuse,6.1,27.3,II0.9:anlDP_diffuse,-10.4,-37.2,II0.9:anlDP_diffuse,-13.6,-39.4,II0.9:anlDP_diffuse,-14.1,-28.3,II0.9:anlDP_diffuse,-4.3,-6.3,II0.9:anlDP_diffuse,10.4,23.9,II0.9:anlDP_diffuse,6.1,23.9,II0.9:anlDP_diffuse,4.8,23,II0.9:anlDP_diffuse,-10.8,-35.7,II0.9:anlDP_diffuse,-13.5,-37.1,II0.9:anlDP_diffuse,-14.2,-28.2,II0.9:anlDP_diffuse,-3.1,-4.5,II0.9:anlDP_diffuse,9.6,21.9,II0.9:anlDP_diffuse,5.4,20.5,II0.9:anlDP_diffuse,4.6,20.9
