,predictor_Gaussian,estimate_Gaussian,t-value_Gaussian,predictor_Gaussian1,estimate_Gaussian1,t-value_Gaussian1,predictor_Gaussian2,estimate_Gaussian2,t-value_Gaussian2,predictor_Gaussian3,estimate_Gaussian3,t-value_Gaussian3,predictor_Gaussian4,estimate_Gaussian4,t-value_Gaussian4,predictor_Gaussian5,estimate_Gaussian5,t-value_Gaussian5,predictor_Gaussian6,estimate_Gaussian6,t-value_Gaussian6,predictor_ALD,estimate_ALD,t-value_ALD,predictor_ALD1,estimate_ALD1,t-value_ALD1,predictor_ALD2,estimate_ALD2,t-value_ALD2,predictor_ALD3,estimate_ALD3,t-value_ALD3,predictor_ALD4,estimate_ALD4,t-value_ALD4,predictor_ALD5,estimate_ALD5,t-value_ALD5,predictor_ALD6,estimate_ALD6,t-value_ALD6,predictor_Mixed,estimate_Mixed,t-value_Mixed,predictor_Mixed1,estimate_Mixed1,t-value_Mixed1,predictor_Mixed2,estimate_Mixed2,t-value_Mixed2,predictor_Mixed3,estimate_Mixed3,t-value_Mixed3,predictor_Mixed4,estimate_Mixed4,t-value_Mixed4,predictor_Mixed5,estimate_Mixed5,t-value_Mixed5,predictor_Mixed6,estimate_Mixed6,t-value_Mixed6
11,estGR,0.6,2.8,estGR,-1.9,-6.5,estGR,-9.6,-21.9,estGR,-16.8,-31,estGR,-10.1,-21.8,estGR,-2.1,-6,estGR,0.5,2.2,estGR,2.7,8.7,estGR,-1.2,-3.4,estGR,-8.5,-20.5,estGR,-16.4,-28.5,estGR,-8.1,-20.5,estGR,-1.4,-6.3,estGR,0.8,4.1,estGR,3,8.2,estGR,-0.6,-1.5,estGR,-8.8,-20.4,estGR,-17.2,-31.1,estGR,-8.2,-21.8,estGR,-2.3,-11.1,estGR,-0.2,-0.9
12,NN50:II0.5,0.9,4.9,NN50:II0.5,0.9,3.6,NN50:II0.5,-0.5,-1.4,NN50:II0.5,-1.4,-3.2,NN50:II0.5,-0.6,-1.7,NN50:II0.5,0.2,0.9,NN50:II0.5,0.3,1.4,NN50:II0.5,1.2,4.5,NN50:II0.5,1.3,4.2,NN50:II0.5,0.9,2.5,NN50:II0.5,-0.9,-1.9,NN50:II0.5,0.8,2.5,NN50:II0.5,0.5,2.5,NN50:II0.5,0.8,4.8,NN50:II0.5,1.6,5.5,NN50:II0.5,1.3,4.2,NN50:II0.5,-0.6,-1.8,NN50:II0.5,-3.1,-6.8,NN50:II0.5,-1.2,-3.7,NN50:II0.5,-0.3,-1.4,NN50:II0.5,-0.1,-0.7
13,NN200:II0.5,0.2,1.1,NN200:II0.5,0,-0.2,NN200:II0.5,-1.4,-4.4,NN200:II0.5,-0.8,-1.9,NN200:II0.5,-1.8,-5.8,NN200:II0.5,-0.5,-2.3,NN200:II0.5,-0.1,-0.6,NN200:II0.5,2.2,9.2,NN200:II0.5,2.1,7.8,NN200:II0.5,0,-0.1,NN200:II0.5,-4.6,-10.5,NN200:II0.5,-0.3,-1.1,NN200:II0.5,-0.8,-4.3,NN200:II0.5,-0.4,-2.3,NN200:II0.5,2,7.3,NN200:II0.5,1.7,5.6,NN200:II0.5,-1.2,-3.6,NN200:II0.5,-4.9,-11.5,NN200:II0.5,-2.2,-7.7,NN200:II0.5,-1.4,-8,NN200:II0.5,-0.6,-3.5
14,NN50:II0.9,0.6,3.5,NN50:II0.9,0.5,2.2,NN50:II0.9,0,0.1,NN50:II0.9,-0.1,-0.2,NN50:II0.9,-0.1,-0.2,NN50:II0.9,-0.2,-0.9,NN50:II0.9,0.3,1.3,NN50:II0.9,1.6,5.9,NN50:II0.9,1.8,5.9,NN50:II0.9,-0.6,-1.7,NN50:II0.9,0,0,NN50:II0.9,1.6,5.4,NN50:II0.9,0.5,2.5,NN50:II0.9,1,6.2,NN50:II0.9,2.2,7.5,NN50:II0.9,2,6.5,NN50:II0.9,-0.3,-0.9,NN50:II0.9,-0.8,-2.1,NN50:II0.9,-1.3,-4.6,NN50:II0.9,-0.7,-3.7,NN50:II0.9,-0.1,-0.7
15,NN200:II0.9,-0.5,-2.9,NN200:II0.9,-1.1,-4.9,NN200:II0.9,-0.4,-1.4,NN200:II0.9,1.5,4.2,NN200:II0.9,-0.6,-2,NN200:II0.9,-1.1,-5,NN200:II0.9,-0.6,-3.2,NN200:II0.9,2.9,12.2,NN200:II0.9,3.4,13,NN200:II0.9,-0.6,-1.9,NN200:II0.9,-2.1,-5.6,NN200:II0.9,2,7.4,NN200:II0.9,-0.6,-3.6,NN200:II0.9,-0.3,-1.7,NN200:II0.9,2.5,9.3,NN200:II0.9,2.2,7.5,NN200:II0.9,-1.8,-5.7,NN200:II0.9,-2.3,-6.1,NN200:II0.9,-2.3,-9,NN200:II0.9,-2,-11.7,NN200:II0.9,-0.9,-5.4
16,NN50:RR5,0.5,3.1,NN50:RR5,0.5,2.4,NN50:RR5,-0.4,-1.4,NN50:RR5,-0.1,-0.2,NN50:RR5,1,3,NN50:RR5,0.8,3.2,NN50:RR5,0.5,2.7,NN50:RR5,0.4,1.8,NN50:RR5,0.4,1.6,NN50:RR5,0.7,2.2,NN50:RR5,1.7,4,NN50:RR5,0.7,2.3,NN50:RR5,0.5,2.6,NN50:RR5,0.3,2.1,NN50:RR5,0.1,0.3,NN50:RR5,0,0,NN50:RR5,0.3,0.8,NN50:RR5,0.6,1.5,NN50:RR5,-1.2,-4.2,NN50:RR5,-0.3,-1.6,NN50:RR5,0.2,1.3
17,NN200:RR5,0.2,1.5,NN200:RR5,0.3,1.6,NN200:RR5,0,-0.1,NN200:RR5,-0.6,-1.8,NN200:RR5,0.7,2.4,NN200:RR5,0.4,2,NN200:RR5,0.4,2.4,NN200:RR5,0.6,2.8,NN200:RR5,0.4,1.7,NN200:RR5,0,0.1,NN200:RR5,-0.3,-0.8,NN200:RR5,1.1,4,NN200:RR5,0.5,2.9,NN200:RR5,0,0,NN200:RR5,0.1,0.6,NN200:RR5,0,-0.1,NN200:RR5,0.1,0.2,NN200:RR5,0.4,1.1,NN200:RR5,-0.1,-0.4,NN200:RR5,0.1,0.7,NN200:RR5,0.3,1.9
18,NN50:RR10,0.4,2.2,NN50:RR10,0,0,NN50:RR10,-1.1,-3.5,NN50:RR10,-1.8,-4.8,NN50:RR10,0.5,1.6,NN50:RR10,0.8,3.5,NN50:RR10,0.6,3.5,NN50:RR10,0.5,2.2,NN50:RR10,0.7,2.8,NN50:RR10,1.3,4.2,NN50:RR10,1.2,2.9,NN50:RR10,0.7,2.3,NN50:RR10,0.5,2.9,NN50:RR10,0.2,1,NN50:RR10,0,-0.2,NN50:RR10,-0.1,-0.3,NN50:RR10,0.1,0.3,NN50:RR10,-0.2,-0.5,NN50:RR10,-1.3,-4.5,NN50:RR10,0,-0.2,NN50:RR10,0.2,1.3
19,NN200:RR10,0.3,1.7,NN200:RR10,0,0.1,NN200:RR10,-1.1,-3.8,NN200:RR10,-2.5,-7.2,NN200:RR10,0.8,2.7,NN200:RR10,0.6,2.8,NN200:RR10,0.5,2.9,NN200:RR10,0.5,2.6,NN200:RR10,0.6,2.5,NN200:RR10,0.7,2.3,NN200:RR10,-0.6,-1.6,NN200:RR10,0.3,1.3,NN200:RR10,0.2,1.2,NN200:RR10,0,0,NN200:RR10,0.1,0.2,NN200:RR10,0,-0.1,NN200:RR10,0.3,0.9,NN200:RR10,-0.6,-1.8,NN200:RR10,0.3,1,NN200:RR10,0.3,2,NN200:RR10,0,0.2
20,NN50:anlDP_diffuse,0,0.1,NN50:anlDP_diffuse,-0.1,-0.3,NN50:anlDP_diffuse,-0.3,-0.8,NN50:anlDP_diffuse,-0.1,-0.1,NN50:anlDP_diffuse,-0.3,-1.1,NN50:anlDP_diffuse,0,0,NN50:anlDP_diffuse,0.1,0.6,NN50:anlDP_diffuse,0.7,3.1,NN50:anlDP_diffuse,1,3.7,NN50:anlDP_diffuse,-0.4,-1.2,NN50:anlDP_diffuse,-0.9,-2.1,NN50:anlDP_diffuse,-0.7,-2.4,NN50:anlDP_diffuse,-0.5,-3.1,NN50:anlDP_diffuse,-0.3,-1.8,NN50:anlDP_diffuse,0.5,1.9,NN50:anlDP_diffuse,0.5,1.8,NN50:anlDP_diffuse,-0.8,-2.4,NN50:anlDP_diffuse,-1,-2.5,NN50:anlDP_diffuse,-0.4,-1.4,NN50:anlDP_diffuse,-0.1,-0.7,NN50:anlDP_diffuse,0.2,1.1
21,NN200:anlDP_diffuse,0.4,2.8,NN200:anlDP_diffuse,0.2,0.9,NN200:anlDP_diffuse,0,-0.1,NN200:anlDP_diffuse,1.3,3.8,NN200:anlDP_diffuse,-0.4,-1.3,NN200:anlDP_diffuse,0.1,0.6,NN200:anlDP_diffuse,0.3,2.1,NN200:anlDP_diffuse,1.1,5.3,NN200:anlDP_diffuse,1.5,6.2,NN200:anlDP_diffuse,-0.9,-3,NN200:anlDP_diffuse,-2.8,-7.5,NN200:anlDP_diffuse,-1.3,-5.1,NN200:anlDP_diffuse,-0.8,-4.8,NN200:anlDP_diffuse,0,0,NN200:anlDP_diffuse,1.2,5.1,NN200:anlDP_diffuse,1.1,4.1,NN200:anlDP_diffuse,-1.5,-5.3,NN200:anlDP_diffuse,-2.6,-7.1,NN200:anlDP_diffuse,-1.6,-6.5,NN200:anlDP_diffuse,-0.6,-3.4,NN200:anlDP_diffuse,0.4,2.6
22,NN50:anlDP_Inform,0,-0.2,NN50:anlDP_Inform,0,0,NN50:anlDP_Inform,0,0.1,NN50:anlDP_Inform,0.1,0.3,NN50:anlDP_Inform,0.1,0.3,NN50:anlDP_Inform,-0.1,-0.4,NN50:anlDP_Inform,0,-0.3,NN50:anlDP_Inform,0.1,0.4,NN50:anlDP_Inform,0.8,3.4,NN50:anlDP_Inform,0.6,2,NN50:anlDP_Inform,0,0,NN50:anlDP_Inform,0.1,0.2,NN50:anlDP_Inform,-0.3,-1.8,NN50:anlDP_Inform,-0.2,-1.3,NN50:anlDP_Inform,0,0.1,NN50:anlDP_Inform,0.5,2,NN50:anlDP_Inform,0.2,0.7,NN50:anlDP_Inform,-0.7,-1.7,NN50:anlDP_Inform,-0.1,-0.4,NN50:anlDP_Inform,0,-0.1,NN50:anlDP_Inform,0.1,0.8
23,NN200:anlDP_Inform,0,0.1,NN200:anlDP_Inform,0.1,0.6,NN200:anlDP_Inform,0.4,1.5,NN200:anlDP_Inform,0.5,1.3,NN200:anlDP_Inform,0.3,1.1,NN200:anlDP_Inform,0.1,0.4,NN200:anlDP_Inform,0.1,0.6,NN200:anlDP_Inform,0.3,2,NN200:anlDP_Inform,1.9,9.7,NN200:anlDP_Inform,2.3,8.2,NN200:anlDP_Inform,-1.4,-3.4,NN200:anlDP_Inform,0.8,3,NN200:anlDP_Inform,-0.4,-3.1,NN200:anlDP_Inform,-0.2,-1.9,NN200:anlDP_Inform,0.4,1.9,NN200:anlDP_Inform,1.3,5.9,NN200:anlDP_Inform,0.8,2.8,NN200:anlDP_Inform,-1.7,-4.5,NN200:anlDP_Inform,-0.6,-2.3,NN200:anlDP_Inform,-0.3,-1.9,NN200:anlDP_Inform,0.3,1.9
24,NN50:estCB,-0.7,-4.5,NN50:estCB,-0.6,-2.9,NN50:estCB,0.1,0.3,NN50:estCB,1,2.5,NN50:estCB,-0.1,-0.3,NN50:estCB,-0.4,-1.6,NN50:estCB,-0.4,-2.4,NN50:estCB,-0.5,-2.1,NN50:estCB,-0.5,-1.8,NN50:estCB,-0.6,-1.7,NN50:estCB,0,-0.1,NN50:estCB,-0.2,-0.7,NN50:estCB,-0.8,-5.1,NN50:estCB,-0.8,-5.7,NN50:estCB,-0.7,-2.8,NN50:estCB,-0.7,-2.7,NN50:estCB,-0.7,-2.1,NN50:estCB,0.8,1.8,NN50:estCB,-0.5,-1.6,NN50:estCB,-0.5,-3,NN50:estCB,-0.5,-2.8
25,NN200:estCB,-1.2,-8.4,NN200:estCB,-1.3,-6.8,NN200:estCB,-0.3,-1,NN200:estCB,2.5,6.9,NN200:estCB,-0.2,-0.7,NN200:estCB,-0.9,-4.5,NN200:estCB,-1,-6.6,NN200:estCB,-0.9,-4.6,NN200:estCB,-0.8,-3.4,NN200:estCB,-1.2,-4,NN200:estCB,0.9,2.3,NN200:estCB,0,0.1,NN200:estCB,-1.2,-7.5,NN200:estCB,-1.1,-7.8,NN200:estCB,-1.2,-5.2,NN200:estCB,-1.4,-5.4,NN200:estCB,-1.8,-5.7,NN200:estCB,1.7,4.4,NN200:estCB,-0.2,-0.7,NN200:estCB,-0.8,-5.3,NN200:estCB,-0.5,-3.6
26,NN50:estGR,-0.2,-1.7,NN50:estGR,-0.2,-0.8,NN50:estGR,0.3,1,NN50:estGR,0.9,2.2,NN50:estGR,0,0.1,NN50:estGR,-0.3,-1.3,NN50:estGR,-0.3,-2,NN50:estGR,-0.2,-1.1,NN50:estGR,-0.2,-0.7,NN50:estGR,-0.3,-0.8,NN50:estGR,0,-0.1,NN50:estGR,-0.2,-0.8,NN50:estGR,-0.7,-4.3,NN50:estGR,-0.5,-4,NN50:estGR,-0.3,-1.2,NN50:estGR,-0.2,-0.7,NN50:estGR,-0.1,-0.4,NN50:estGR,0.5,1.2,NN50:estGR,-0.3,-1.2,NN50:estGR,-0.2,-1.2,NN50:estGR,-0.1,-0.4
27,NN200:estGR,-0.4,-3.2,NN200:estGR,-0.4,-2.2,NN200:estGR,0.3,1,NN200:estGR,2.7,7.5,NN200:estGR,0,0.2,NN200:estGR,-0.4,-2.2,NN200:estGR,-0.5,-3.3,NN200:estGR,-0.2,-1,NN200:estGR,-0.1,-0.2,NN200:estGR,-0.9,-3.1,NN200:estGR,1.4,3.4,NN200:estGR,-0.5,-2.1,NN200:estGR,-0.9,-6.4,NN200:estGR,-0.5,-4.3,NN200:estGR,-0.3,-1.3,NN200:estGR,-0.5,-1.9,NN200:estGR,-0.6,-1.9,NN200:estGR,1.9,4.8,NN200:estGR,-0.5,-2.1,NN200:estGR,-0.2,-1.4,NN200:estGR,0.1,0.6
28,II0.5:RR5,0.8,4.8,II0.5:RR5,1,4.5,II0.5:RR5,1.2,3.8,II0.5:RR5,2.7,6.7,II0.5:RR5,2.5,7.4,II0.5:RR5,2.1,8.6,II0.5:RR5,1.8,9.3,II0.5:RR5,0.1,0.4,II0.5:RR5,0.2,0.7,II0.5:RR5,-0.2,-0.5,II0.5:RR5,-0.1,-0.3,II0.5:RR5,0.8,2.8,II0.5:RR5,1.2,6.8,II0.5:RR5,1.3,8.3,II0.5:RR5,1.4,4.9,II0.5:RR5,1.3,4.5,II0.5:RR5,0.3,0.8,II0.5:RR5,-0.9,-2.1,II0.5:RR5,0.2,0.6,II0.5:RR5,0.1,0.5,II0.5:RR5,0.5,3
29,II0.9:RR5,0.8,4.4,II0.9:RR5,1.3,5.8,II0.9:RR5,1.6,5.4,II0.9:RR5,0.5,1.3,II0.9:RR5,2.9,9.2,II0.9:RR5,2.9,11.9,II0.9:RR5,2.1,11.1,II0.9:RR5,0.8,3.2,II0.9:RR5,0.9,3.4,II0.9:RR5,-0.3,-0.9,II0.9:RR5,0.9,2.3,II0.9:RR5,0.4,1.4,II0.9:RR5,1.3,7.2,II0.9:RR5,1.4,9,II0.9:RR5,1.5,5.6,II0.9:RR5,1.4,4.7,II0.9:RR5,0.6,1.8,II0.9:RR5,-1.3,-3.3,II0.9:RR5,0.3,1.3,II0.9:RR5,0.5,2.8,II0.9:RR5,0.7,4
30,II0.5:RR10,1.3,7.4,II0.5:RR10,1.4,6.1,II0.5:RR10,1.5,4.8,II0.5:RR10,2.6,6.6,II0.5:RR10,2,6,II0.5:RR10,2.3,9.4,II0.5:RR10,1.9,10.6,II0.5:RR10,0.8,3.5,II0.5:RR10,1.2,4.5,II0.5:RR10,1.3,4.2,II0.5:RR10,1.2,2.7,II0.5:RR10,1.5,5.3,II0.5:RR10,1.7,9.6,II0.5:RR10,1.5,9.7,II0.5:RR10,1.7,6.5,II0.5:RR10,1.6,5.8,II0.5:RR10,0.3,1,II0.5:RR10,-0.1,-0.2,II0.5:RR10,1.3,4.4,II0.5:RR10,1,5.8,II0.5:RR10,1.3,8.4
31,II0.9:RR10,1.5,8.7,II0.9:RR10,1.9,8.6,II0.9:RR10,1.9,6.4,II0.9:RR10,1.1,3,II0.9:RR10,2.1,6.7,II0.9:RR10,3,12.6,II0.9:RR10,2.3,12.9,II0.9:RR10,1.7,7.6,II0.9:RR10,1.8,7.2,II0.9:RR10,-0.4,-1.3,II0.9:RR10,2.1,5.4,II0.9:RR10,1.5,5.4,II0.9:RR10,1.6,9.4,II0.9:RR10,1.7,11,II0.9:RR10,2.2,8.6,II0.9:RR10,2.2,8.2,II0.9:RR10,1.5,4.8,II0.9:RR10,0.5,1.2,II0.9:RR10,1.4,5.6,II0.9:RR10,1.6,9.4,II0.9:RR10,1.8,11.2
32,II0.5:anlDP_diffuse,-3,-17.4,II0.5:anlDP_diffuse,-2.6,-11.8,II0.5:anlDP_diffuse,0.1,0.2,II0.5:anlDP_diffuse,2.9,7.5,II0.5:anlDP_diffuse,0.5,1.6,II0.5:anlDP_diffuse,-2.1,-8.9,II0.5:anlDP_diffuse,-2.9,-15.6,II0.5:anlDP_diffuse,-6.1,-23.7,II0.5:anlDP_diffuse,-4,-14.4,II0.5:anlDP_diffuse,1.3,4.2,II0.5:anlDP_diffuse,3.8,8.8,II0.5:anlDP_diffuse,1.8,6.3,II0.5:anlDP_diffuse,-1.3,-7.2,II0.5:anlDP_diffuse,-2.2,-14,II0.5:anlDP_diffuse,-5.9,-21.4,II0.5:anlDP_diffuse,-3.8,-12.9,II0.5:anlDP_diffuse,1.3,4.2,II0.5:anlDP_diffuse,3.6,8.5,II0.5:anlDP_diffuse,1.5,5.3,II0.5:anlDP_diffuse,-1,-5.6,II0.5:anlDP_diffuse,-1.9,-11.7
33,II0.9:anlDP_diffuse,-3,-17.2,II0.9:anlDP_diffuse,-2.3,-10.4,II0.9:anlDP_diffuse,0.7,2.2,II0.9:anlDP_diffuse,2.8,7.9,II0.9:anlDP_diffuse,1.1,3.4,II0.9:anlDP_diffuse,-1.8,-7.9,II0.9:anlDP_diffuse,-2.8,-15.5,II0.9:anlDP_diffuse,-4.6,-18.5,II0.9:anlDP_diffuse,-1,-3.6,II0.9:anlDP_diffuse,4.7,15.4,II0.9:anlDP_diffuse,6.2,16.3,II0.9:anlDP_diffuse,2.8,10.3,II0.9:anlDP_diffuse,-0.7,-3.8,II0.9:anlDP_diffuse,-1.9,-12.1,II0.9:anlDP_diffuse,-5,-18.8,II0.9:anlDP_diffuse,-2,-7.2,II0.9:anlDP_diffuse,3.8,12.6,II0.9:anlDP_diffuse,7.2,19,II0.9:anlDP_diffuse,2.3,8.8,II0.9:anlDP_diffuse,-0.1,-0.4,II0.9:anlDP_diffuse,-1.5,-8.5
34,II0.5:anlDP_Inform,0.6,4.6,II0.5:anlDP_Inform,1,5.3,II0.5:anlDP_Inform,1.4,4.7,II0.5:anlDP_Inform,2.1,5.2,II0.5:anlDP_Inform,1.5,4.9,II0.5:anlDP_Inform,1,5.1,II0.5:anlDP_Inform,0.5,3.9,II0.5:anlDP_Inform,0.3,1.3,II0.5:anlDP_Inform,2.2,9.7,II0.5:anlDP_Inform,5.1,16.6,II0.5:anlDP_Inform,0.7,1.6,II0.5:anlDP_Inform,0.8,2.8,II0.5:anlDP_Inform,-0.2,-1.7,II0.5:anlDP_Inform,0.2,1.6,II0.5:anlDP_Inform,-0.2,-1.1,II0.5:anlDP_Inform,1.8,7.5,II0.5:anlDP_Inform,4.3,14.1,II0.5:anlDP_Inform,-0.5,-1.1,II0.5:anlDP_Inform,-0.3,-1.2,II0.5:anlDP_Inform,0.3,1.8,II0.5:anlDP_Inform,0.9,7.2
