"","quantity","truth","N","ICC","rsr","assumed","estimator","value"
"82","ISEL","Gaussian","N = 25","ICC = 0.9","R = 1","DP-diffuse","PM",0.0130099270343907
"83","ISEL","Gaussian","N = 25","ICC = 0.9","R = 1","DP-diffuse","CB",0.0125380844944042
"84","ISEL","Gaussian","N = 25","ICC = 0.9","R = 1","DP-diffuse","GR",0.008748926965672
"85","ISEL","Gaussian","N = 25","ICC = 0.9","R = 5","Gaussian","ML",0.0120293637753689
"86","ISEL","Gaussian","N = 25","ICC = 0.9","R = 5","Gaussian","PM",0.01248833681104
"87","ISEL","Gaussian","N = 25","ICC = 0.9","R = 5","Gaussian","CB",0.0113774094572659
"88","ISEL","Gaussian","N = 25","ICC = 0.9","R = 5","Gaussian","GR",0.00885842887605734
"89","ISEL","Gaussian","N = 25","ICC = 0.9","R = 5","T","ML",0.0120293637753689
"90","ISEL","Gaussian","N = 25","ICC = 0.9","R = 5","T","PM",0.0130311305951628
"91","ISEL","Gaussian","N = 25","ICC = 0.9","R = 5","T","CB",0.0116761541972705
"92","ISEL","Gaussian","N = 25","ICC = 0.9","R = 5","T","GR",0.00904984211955442
"93","ISEL","Gaussian","N = 25","ICC = 0.9","R = 5","DP-diffuse","ML",0.0120293637753689
"94","ISEL","Gaussian","N = 25","ICC = 0.9","R = 5","DP-diffuse","PM",0.0142450324791041
"95","ISEL","Gaussian","N = 25","ICC = 0.9","R = 5","DP-diffuse","CB",0.0132671250259912
"96","ISEL","Gaussian","N = 25","ICC = 0.9","R = 5","DP-diffuse","GR",0.010095720022936
"97","ISEL","Gaussian","N = 25","ICC = 0.9","R = 10","Gaussian","ML",0.0159585076309319
"98","ISEL","Gaussian","N = 25","ICC = 0.9","R = 10","Gaussian","PM",0.0140801968275602
"99","ISEL","Gaussian","N = 25","ICC = 0.9","R = 10","Gaussian","CB",0.0129727952451988
"100","ISEL","Gaussian","N = 25","ICC = 0.9","R = 10","Gaussian","GR",0.0100160866424895
"101","ISEL","Gaussian","N = 25","ICC = 0.9","R = 10","T","ML",0.0159585076309319
"102","ISEL","Gaussian","N = 25","ICC = 0.9","R = 10","T","PM",0.0145263730395305
"103","ISEL","Gaussian","N = 25","ICC = 0.9","R = 10","T","CB",0.0132008438140474
"104","ISEL","Gaussian","N = 25","ICC = 0.9","R = 10","T","GR",0.0101303703400048
"105","ISEL","Gaussian","N = 25","ICC = 0.9","R = 10","DP-diffuse","ML",0.0159585076309319
"106","ISEL","Gaussian","N = 25","ICC = 0.9","R = 10","DP-diffuse","PM",0.0156549476606755
"107","ISEL","Gaussian","N = 25","ICC = 0.9","R = 10","DP-diffuse","CB",0.0147745212133064
"108","ISEL","Gaussian","N = 25","ICC = 0.9","R = 10","DP-diffuse","GR",0.0115026266166806
"109","ISEL","Gaussian","N = 50","ICC = 0.1","R = 1","Gaussian","ML",0.324555005115791
"110","ISEL","Gaussian","N = 50","ICC = 0.1","R = 1","Gaussian","PM",0.211173975320351
"111","ISEL","Gaussian","N = 50","ICC = 0.1","R = 1","Gaussian","CB",0.0776700050739862
"112","ISEL","Gaussian","N = 50","ICC = 0.1","R = 1","Gaussian","GR",0.0822660432111491
"113","ISEL","Gaussian","N = 50","ICC = 0.1","R = 1","T","ML",0.324555005115791
"114","ISEL","Gaussian","N = 50","ICC = 0.1","R = 1","T","PM",0.210711267182829
"115","ISEL","Gaussian","N = 50","ICC = 0.1","R = 1","T","CB",0.0732417141156233
"116","ISEL","Gaussian","N = 50","ICC = 0.1","R = 1","T","GR",0.0792002549617707
"117","ISEL","Gaussian","N = 50","ICC = 0.1","R = 1","DP-diffuse","ML",0.324555005115791
"118","ISEL","Gaussian","N = 50","ICC = 0.1","R = 1","DP-diffuse","PM",0.186352133656478
"119","ISEL","Gaussian","N = 50","ICC = 0.1","R = 1","DP-diffuse","CB",0.130605926026696
"120","ISEL","Gaussian","N = 50","ICC = 0.1","R = 1","DP-diffuse","GR",0.121386491769488
"121","ISEL","Gaussian","N = 50","ICC = 0.1","R = 5","Gaussian","ML",0.359658138560022
"122","ISEL","Gaussian","N = 50","ICC = 0.1","R = 5","Gaussian","PM",0.18817779906893
"123","ISEL","Gaussian","N = 50","ICC = 0.1","R = 5","Gaussian","CB",0.0701953552718446
"124","ISEL","Gaussian","N = 50","ICC = 0.1","R = 5","Gaussian","GR",0.0733919117989306
"125","ISEL","Gaussian","N = 50","ICC = 0.1","R = 5","T","ML",0.359658138560022
"126","ISEL","Gaussian","N = 50","ICC = 0.1","R = 5","T","PM",0.178935241663081
"127","ISEL","Gaussian","N = 50","ICC = 0.1","R = 5","T","CB",0.0671103546832594
"128","ISEL","Gaussian","N = 50","ICC = 0.1","R = 5","T","GR",0.0689364020570444
