"","truth","N","ICC","rsr","assumed","estimator","tail_p","quantile","diff"
"101","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","CB","0.25",0.262,0.012
"102","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","CB","0.5",0.5208,0.0208
"103","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","CB","0.75",0.7712,0.0212
"104","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","CB","0.9",0.8948,-0.0052
"105","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","CB","0.95",0.936399999999999,-0.0136
"106","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","GR","0.05",0.0688,0.0188
"107","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","GR","0.1",0.108,0.008
"108","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","GR","0.25",0.2484,-0.0016
"109","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","GR","0.5",0.5288,0.0288
"110","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","GR","0.75",0.787600000000001,0.0376
"111","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","GR","0.9",0.9084,0.0084
"112","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","GR","0.95",0.9444,-0.0056
"113","Gaussian","N = 25","ICC = 0.1","R = 5","T","ML","0.05",0.306,0.256
"114","Gaussian","N = 25","ICC = 0.1","R = 5","T","ML","0.1",0.3492,0.2492
"115","Gaussian","N = 25","ICC = 0.1","R = 5","T","ML","0.25",0.4196,0.1696
"116","Gaussian","N = 25","ICC = 0.1","R = 5","T","ML","0.5",0.508,0.008
"117","Gaussian","N = 25","ICC = 0.1","R = 5","T","ML","0.75",0.5976,-0.1524
"118","Gaussian","N = 25","ICC = 0.1","R = 5","T","ML","0.9",0.6736,-0.2264
"119","Gaussian","N = 25","ICC = 0.1","R = 5","T","ML","0.95",0.7164,-0.2336
"120","Gaussian","N = 25","ICC = 0.1","R = 5","T","PM","0.05",0.016,-0.034
"121","Gaussian","N = 25","ICC = 0.1","R = 5","T","PM","0.1",0.026,-0.074
"122","Gaussian","N = 25","ICC = 0.1","R = 5","T","PM","0.25",0.1348,-0.1152
"123","Gaussian","N = 25","ICC = 0.1","R = 5","T","PM","0.5",0.5464,0.0464
"124","Gaussian","N = 25","ICC = 0.1","R = 5","T","PM","0.75",0.9156,0.1656
