"","truth","N","ICC","rsr","assumed","estimator","tail_p","quantile","diff"
"67","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","PM","0.5",0.4668,-0.0332
"68","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","PM","0.75",0.7236,-0.0264
"69","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","PM","0.9",0.8808,-0.0192
"70","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","PM","0.95",0.9328,-0.0172
"71","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","CB","0.05",0.1644,0.1144
"72","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","CB","0.1",0.222,0.122
"73","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","CB","0.25",0.3416,0.0916
"74","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","CB","0.5",0.4772,-0.0228
"75","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","CB","0.75",0.622,-0.128
"76","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","CB","0.9",0.7528,-0.1472
"77","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","CB","0.95",0.8156,-0.1344
"78","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","GR","0.05",0.154,0.104
"79","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","GR","0.1",0.2068,0.1068
"80","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","GR","0.25",0.3212,0.0712
"81","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","GR","0.5",0.4792,-0.0208
"82","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","GR","0.75",0.6424,-0.1076
"83","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","GR","0.9",0.768,-0.132
"84","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","GR","0.95",0.8264,-0.1236
"85","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","ML","0.05",0.3,0.25
"86","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","ML","0.1",0.3416,0.2416
"87","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","ML","0.25",0.4056,0.1556
"88","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","ML","0.5",0.492,-0.008
"89","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","ML","0.75",0.5712,-0.1788
"90","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","ML","0.9",0.644,-0.256
"91","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","ML","0.95",0.6896,-0.2604
"92","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","PM","0.05",0.0252,-0.0248
"93","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","PM","0.1",0.0604,-0.0396
"94","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","PM","0.25",0.1664,-0.0836
"95","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","PM","0.5",0.4732,-0.0268
"96","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","PM","0.75",0.7844,0.0344
"97","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","PM","0.9",0.9204,0.0204
"98","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","PM","0.95",0.9684,0.0184
"99","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","CB","0.05",0.1156,0.0656
"100","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","CB","0.1",0.1696,0.0696
"101","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","CB","0.25",0.2988,0.0488
"102","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","CB","0.5",0.4744,-0.0256
"103","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","CB","0.75",0.6652,-0.0848
"104","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","CB","0.9",0.8096,-0.0904
"105","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","CB","0.95",0.8744,-0.0756
"106","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","GR","0.05",0.1012,0.0512
"107","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","GR","0.1",0.1516,0.0516
"108","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","GR","0.25",0.2764,0.0264
"109","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","GR","0.5",0.4804,-0.0196
"110","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","GR","0.75",0.6884,-0.0616
"111","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","GR","0.9",0.8292,-0.0708
"112","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","GR","0.95",0.8848,-0.0652
"113","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","ML","0.05",0.306,0.256
"114","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","ML","0.1",0.3492,0.2492
"115","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","ML","0.25",0.4196,0.1696
"116","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","ML","0.5",0.508,0.008
"117","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","ML","0.75",0.5976,-0.1524
"118","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","ML","0.9",0.6736,-0.2264
"119","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","ML","0.95",0.7164,-0.2336
"120","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","PM","0.05",0.014,-0.036
"121","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","PM","0.1",0.0252,-0.0748
"122","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","PM","0.25",0.1288,-0.1212
"123","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","PM","0.5",0.5488,0.0488
"124","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","PM","0.75",0.9192,0.1692
"125","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","PM","0.9",0.9792,0.0792
"126","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","PM","0.95",0.9892,0.0392
"127","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","CB","0.05",0.0768,0.0268
"128","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","CB","0.1",0.1276,0.0276
"129","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","CB","0.25",0.262,0.012
"130","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","CB","0.5",0.5208,0.0208
"131","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","CB","0.75",0.7712,0.0212
"132","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","CB","0.9",0.8948,-0.0052
"133","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","CB","0.95",0.936399999999999,-0.0136
"134","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","GR","0.05",0.0688,0.0188
"135","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","GR","0.1",0.108,0.008
"136","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","GR","0.25",0.2484,-0.0016
"137","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","GR","0.5",0.5288,0.0288
"138","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","GR","0.75",0.787600000000001,0.0376
"139","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","GR","0.9",0.9084,0.0084
"140","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","GR","0.95",0.9444,-0.0056
"141","Gaussian","N = 25","I = 0.1","R = 5","T","ML","0.05",0.306,0.256
"142","Gaussian","N = 25","I = 0.1","R = 5","T","ML","0.1",0.3492,0.2492
"143","Gaussian","N = 25","I = 0.1","R = 5","T","ML","0.25",0.4196,0.1696
"144","Gaussian","N = 25","I = 0.1","R = 5","T","ML","0.5",0.508,0.008
"145","Gaussian","N = 25","I = 0.1","R = 5","T","ML","0.75",0.5976,-0.1524
"146","Gaussian","N = 25","I = 0.1","R = 5","T","ML","0.9",0.6736,-0.2264
"147","Gaussian","N = 25","I = 0.1","R = 5","T","ML","0.95",0.7164,-0.2336
"148","Gaussian","N = 25","I = 0.1","R = 5","T","PM","0.05",0.016,-0.034
"149","Gaussian","N = 25","I = 0.1","R = 5","T","PM","0.1",0.026,-0.074
"150","Gaussian","N = 25","I = 0.1","R = 5","T","PM","0.25",0.1348,-0.1152
"151","Gaussian","N = 25","I = 0.1","R = 5","T","PM","0.5",0.5464,0.0464
"152","Gaussian","N = 25","I = 0.1","R = 5","T","PM","0.75",0.9156,0.1656
"153","Gaussian","N = 25","I = 0.1","R = 5","T","PM","0.9",0.9792,0.0792
"154","Gaussian","N = 25","I = 0.1","R = 5","T","PM","0.95",0.9876,0.0376
"155","Gaussian","N = 25","I = 0.1","R = 5","T","CB","0.05",0.0796000000000001,0.0296
"156","Gaussian","N = 25","I = 0.1","R = 5","T","CB","0.1",0.1288,0.0288
"157","Gaussian","N = 25","I = 0.1","R = 5","T","CB","0.25",0.2712,0.0212
"158","Gaussian","N = 25","I = 0.1","R = 5","T","CB","0.5",0.5236,0.0236
"159","Gaussian","N = 25","I = 0.1","R = 5","T","CB","0.75",0.7728,0.0228
"160","Gaussian","N = 25","I = 0.1","R = 5","T","CB","0.9",0.8916,-0.0084
"161","Gaussian","N = 25","I = 0.1","R = 5","T","CB","0.95",0.9324,-0.0176
"162","Gaussian","N = 25","I = 0.1","R = 5","T","GR","0.05",0.0668,0.0168
"163","Gaussian","N = 25","I = 0.1","R = 5","T","GR","0.1",0.1104,0.0104
"164","Gaussian","N = 25","I = 0.1","R = 5","T","GR","0.25",0.2508,8e-04
"165","Gaussian","N = 25","I = 0.1","R = 5","T","GR","0.5",0.5276,0.0276
"166","Gaussian","N = 25","I = 0.1","R = 5","T","GR","0.75",0.7864,0.0364
"167","Gaussian","N = 25","I = 0.1","R = 5","T","GR","0.9",0.9076,0.0076
"168","Gaussian","N = 25","I = 0.1","R = 5","T","GR","0.95",0.939199999999999,-0.0108
"169","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","ML","0.05",0.306,0.256
"170","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","ML","0.1",0.3492,0.2492
"171","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","ML","0.25",0.4196,0.1696
"172","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","ML","0.5",0.508,0.008
"173","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","ML","0.75",0.5976,-0.1524
"174","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","ML","0.9",0.6736,-0.2264
"175","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","ML","0.95",0.7164,-0.2336
"176","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","PM","0.05",0.0236,-0.0264
"177","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","PM","0.1",0.0588,-0.0412
"178","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","PM","0.25",0.2192,-0.0308
"179","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","PM","0.5",0.5476,0.0476
"180","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","PM","0.75",0.8424,0.0924
"181","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","PM","0.9",0.9588,0.0588
"182","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","PM","0.95",0.9784,0.0284
"183","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","CB","0.05",0.1476,0.0976
"184","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","CB","0.1",0.208,0.108
"185","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","CB","0.25",0.3372,0.0872
"186","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","CB","0.5",0.522,0.022
"187","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","CB","0.75",0.7152,-0.0348
"188","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","CB","0.9",0.828800000000001,-0.0712
"189","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","CB","0.95",0.8784,-0.0716
"190","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","GR","0.05",0.1352,0.0852
"191","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","GR","0.1",0.192,0.092
"192","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","GR","0.25",0.3272,0.0772
"193","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","GR","0.5",0.5224,0.0224
"194","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","GR","0.75",0.7148,-0.0352
"195","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","GR","0.9",0.8356,-0.0644
"196","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","GR","0.95",0.886,-0.064
"197","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","ML","0.05",0.306,0.256
"198","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","ML","0.1",0.3492,0.2492
"199","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","ML","0.25",0.4196,0.1696
"200","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","ML","0.5",0.508,0.008
"201","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","ML","0.75",0.5976,-0.1524
"202","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","ML","0.9",0.6736,-0.2264
"203","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","ML","0.95",0.7164,-0.2336
"204","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","PM","0.05",0.014,-0.036
"205","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","PM","0.1",0.0304,-0.0696
"206","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","PM","0.25",0.1548,-0.0952
"207","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","PM","0.5",0.5512,0.0512
"208","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","PM","0.75",0.8992,0.1492
"209","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","PM","0.9",0.9748,0.0748
"210","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","PM","0.95",0.988,0.038
"211","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","CB","0.05",0.09,0.04
"212","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","CB","0.1",0.1532,0.0532
"213","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","CB","0.25",0.2912,0.0412
"214","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","CB","0.5",0.5276,0.0276
"215","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","CB","0.75",0.7512,0.0012
"216","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","CB","0.9",0.8776,-0.0224
"217","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","CB","0.95",0.9244,-0.0256
"218","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","GR","0.05",0.0856,0.0356
"219","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","GR","0.1",0.1344,0.0344
"220","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","GR","0.25",0.2772,0.0272
"221","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","GR","0.5",0.5268,0.0268
"222","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","GR","0.75",0.764400000000001,0.0144
"223","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","GR","0.9",0.8884,-0.0116
"224","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","GR","0.95",0.928399999999999,-0.0216
"225","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","ML","0.05",0.2876,0.2376
"226","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","ML","0.1",0.3348,0.2348
"227","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","ML","0.25",0.4068,0.1568
"228","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","ML","0.5",0.4944,-0.0056
"229","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","ML","0.75",0.5932,-0.1568
"230","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","ML","0.9",0.6748,-0.2252
"231","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","ML","0.95",0.716,-0.234
"232","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","PM","0.05",0.0164,-0.0336
"233","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","PM","0.1",0.0292,-0.0708
"234","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","PM","0.25",0.1404,-0.1096
"235","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","PM","0.5",0.5304,0.0304
"236","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","PM","0.75",0.8932,0.1432
"237","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","PM","0.9",0.9784,0.0784
"238","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","PM","0.95",0.9872,0.0372
"239","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","CB","0.05",0.072,0.022
"240","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","CB","0.1",0.1188,0.0188
"241","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","CB","0.25",0.2536,0.0036
"242","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","CB","0.5",0.5116,0.0116
"243","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","CB","0.75",0.7708,0.0208
"244","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","CB","0.9",0.9028,0.0028
"245","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","CB","0.95",0.9436,-0.0064
"246","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","GR","0.05",0.0656,0.0156
"247","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","GR","0.1",0.1044,0.0044
"248","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","GR","0.25",0.2424,-0.0076
"249","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","GR","0.5",0.5164,0.0164
"250","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","GR","0.75",0.7824,0.0324
"251","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","GR","0.9",0.9072,0.0072
"252","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","GR","0.95",0.9432,-0.0068
"253","Gaussian","N = 25","I = 0.1","R = 10","T","ML","0.05",0.2876,0.2376
"254","Gaussian","N = 25","I = 0.1","R = 10","T","ML","0.1",0.3348,0.2348
"255","Gaussian","N = 25","I = 0.1","R = 10","T","ML","0.25",0.4068,0.1568
"256","Gaussian","N = 25","I = 0.1","R = 10","T","ML","0.5",0.4944,-0.0056
"257","Gaussian","N = 25","I = 0.1","R = 10","T","ML","0.75",0.5932,-0.1568
"258","Gaussian","N = 25","I = 0.1","R = 10","T","ML","0.9",0.6748,-0.2252
"259","Gaussian","N = 25","I = 0.1","R = 10","T","ML","0.95",0.716,-0.234
"260","Gaussian","N = 25","I = 0.1","R = 10","T","PM","0.05",0.0144,-0.0356
"261","Gaussian","N = 25","I = 0.1","R = 10","T","PM","0.1",0.0296,-0.0704
"262","Gaussian","N = 25","I = 0.1","R = 10","T","PM","0.25",0.1412,-0.1088
"263","Gaussian","N = 25","I = 0.1","R = 10","T","PM","0.5",0.526,0.026
"264","Gaussian","N = 25","I = 0.1","R = 10","T","PM","0.75",0.8952,0.1452
"265","Gaussian","N = 25","I = 0.1","R = 10","T","PM","0.9",0.9784,0.0784
"266","Gaussian","N = 25","I = 0.1","R = 10","T","PM","0.95",0.9876,0.0376
"267","Gaussian","N = 25","I = 0.1","R = 10","T","CB","0.05",0.0724,0.0224
"268","Gaussian","N = 25","I = 0.1","R = 10","T","CB","0.1",0.12,0.02
"269","Gaussian","N = 25","I = 0.1","R = 10","T","CB","0.25",0.2544,0.0044
"270","Gaussian","N = 25","I = 0.1","R = 10","T","CB","0.5",0.5128,0.0128
"271","Gaussian","N = 25","I = 0.1","R = 10","T","CB","0.75",0.7612,0.0112
"272","Gaussian","N = 25","I = 0.1","R = 10","T","CB","0.9",0.9036,0.0036
"273","Gaussian","N = 25","I = 0.1","R = 10","T","CB","0.95",0.9384,-0.0116
"274","Gaussian","N = 25","I = 0.1","R = 10","T","GR","0.05",0.0636,0.0136
"275","Gaussian","N = 25","I = 0.1","R = 10","T","GR","0.1",0.1044,0.0044
"276","Gaussian","N = 25","I = 0.1","R = 10","T","GR","0.25",0.2436,-0.0064
"277","Gaussian","N = 25","I = 0.1","R = 10","T","GR","0.5",0.5152,0.0152
"278","Gaussian","N = 25","I = 0.1","R = 10","T","GR","0.75",0.7804,0.0304
"279","Gaussian","N = 25","I = 0.1","R = 10","T","GR","0.9",0.9084,0.0084
"280","Gaussian","N = 25","I = 0.1","R = 10","T","GR","0.95",0.9424,-0.0076
"281","Gaussian","N = 25","I = 0.1","R = 10","DP-diffuse","ML","0.05",0.2876,0.2376
"282","Gaussian","N = 25","I = 0.1","R = 10","DP-diffuse","ML","0.1",0.3348,0.2348
"283","Gaussian","N = 25","I = 0.1","R = 10","DP-diffuse","ML","0.25",0.4068,0.1568
"284","Gaussian","N = 25","I = 0.1","R = 10","DP-diffuse","ML","0.5",0.4944,-0.0056
"285","Gaussian","N = 25","I = 0.1","R = 10","DP-diffuse","ML","0.75",0.5932,-0.1568
"286","Gaussian","N = 25","I = 0.1","R = 10","DP-diffuse","ML","0.9",0.6748,-0.2252
