"","truth","N","ICC","rsr","assumed","df","fname"
"291","ALD",25,0.1,1,"DP-diffuse",5,"ALD_25_0.1_1_DP-diffuse"
"292","ALD",25,0.1,1,"DP-EB",5,"ALD_25_0.1_1_DP-EB"
"293","ALD",25,0.1,5,"Gaussian",5,"ALD_25_0.1_5_Gaussian"
"294","ALD",25,0.1,5,"T",5,"ALD_25_0.1_5_T"
"295","ALD",25,0.1,5,"DP-diffuse",5,"ALD_25_0.1_5_DP-diffuse"
"296","ALD",25,0.1,5,"DP-EB",5,"ALD_25_0.1_5_DP-EB"
"297","ALD",25,0.1,10,"Gaussian",5,"ALD_25_0.1_10_Gaussian"
"298","ALD",25,0.1,10,"T",5,"ALD_25_0.1_10_T"
"299","ALD",25,0.1,10,"DP-diffuse",5,"ALD_25_0.1_10_DP-diffuse"
"300","ALD",25,0.1,10,"DP-EB",5,"ALD_25_0.1_10_DP-EB"
"301","ALD",25,0.5,1,"Gaussian",5,"ALD_25_0.5_1_Gaussian"
"302","ALD",25,0.5,1,"T",5,"ALD_25_0.5_1_T"
"303","ALD",25,0.5,1,"DP-diffuse",5,"ALD_25_0.5_1_DP-diffuse"
"304","ALD",25,0.5,1,"DP-EB",5,"ALD_25_0.5_1_DP-EB"
"305","ALD",25,0.5,5,"Gaussian",5,"ALD_25_0.5_5_Gaussian"
"306","ALD",25,0.5,5,"T",5,"ALD_25_0.5_5_T"
"307","ALD",25,0.5,5,"DP-diffuse",5,"ALD_25_0.5_5_DP-diffuse"
"308","ALD",25,0.5,5,"DP-EB",5,"ALD_25_0.5_5_DP-EB"
"309","ALD",25,0.5,10,"Gaussian",5,"ALD_25_0.5_10_Gaussian"
"310","ALD",25,0.5,10,"T",5,"ALD_25_0.5_10_T"
"311","ALD",25,0.5,10,"DP-diffuse",5,"ALD_25_0.5_10_DP-diffuse"
"312","ALD",25,0.5,10,"DP-EB",5,"ALD_25_0.5_10_DP-EB"
"313","ALD",25,0.9,1,"Gaussian",5,"ALD_25_0.9_1_Gaussian"
"314","ALD",25,0.9,1,"T",5,"ALD_25_0.9_1_T"
"315","ALD",25,0.9,1,"DP-diffuse",5,"ALD_25_0.9_1_DP-diffuse"
"316","ALD",25,0.9,1,"DP-EB",5,"ALD_25_0.9_1_DP-EB"
"317","ALD",25,0.9,5,"Gaussian",5,"ALD_25_0.9_5_Gaussian"
"318","ALD",25,0.9,5,"T",5,"ALD_25_0.9_5_T"
"319","ALD",25,0.9,5,"DP-diffuse",5,"ALD_25_0.9_5_DP-diffuse"
"320","ALD",25,0.9,5,"DP-EB",5,"ALD_25_0.9_5_DP-EB"
"321","ALD",25,0.9,10,"Gaussian",5,"ALD_25_0.9_10_Gaussian"
"322","ALD",25,0.9,10,"T",5,"ALD_25_0.9_10_T"
"323","ALD",25,0.9,10,"DP-diffuse",5,"ALD_25_0.9_10_DP-diffuse"
