"","truth","N","ICC","rsr","assumed","df","fname","dg_name"
"78","Gaussian",100,0.1,5,"T",5,"Gaussian_100_0.1_5_T","Gaussian_100_0.1_5"
"79","Gaussian",100,0.1,5,"DP-diffuse",5,"Gaussian_100_0.1_5_DP-diffuse","Gaussian_100_0.1_5"
"80","Gaussian",100,0.1,5,"DP-EB",5,"Gaussian_100_0.1_5_DP-EB","Gaussian_100_0.1_5"
"81","Gaussian",100,0.1,10,"Gaussian",5,"Gaussian_100_0.1_10_Gaussian","Gaussian_100_0.1_10"
"82","Gaussian",100,0.1,10,"T",5,"Gaussian_100_0.1_10_T","Gaussian_100_0.1_10"
"83","Gaussian",100,0.1,10,"DP-diffuse",5,"Gaussian_100_0.1_10_DP-diffuse","Gaussian_100_0.1_10"
"84","Gaussian",100,0.1,10,"DP-EB",5,"Gaussian_100_0.1_10_DP-EB","Gaussian_100_0.1_10"
"85","Gaussian",100,0.5,1,"Gaussian",5,"Gaussian_100_0.5_1_Gaussian","Gaussian_100_0.5_1"
"86","Gaussian",100,0.5,1,"T",5,"Gaussian_100_0.5_1_T","Gaussian_100_0.5_1"
"87","Gaussian",100,0.5,1,"DP-diffuse",5,"Gaussian_100_0.5_1_DP-diffuse","Gaussian_100_0.5_1"
"88","Gaussian",100,0.5,1,"DP-EB",5,"Gaussian_100_0.5_1_DP-EB","Gaussian_100_0.5_1"
"89","Gaussian",100,0.5,5,"Gaussian",5,"Gaussian_100_0.5_5_Gaussian","Gaussian_100_0.5_5"
"90","Gaussian",100,0.5,5,"T",5,"Gaussian_100_0.5_5_T","Gaussian_100_0.5_5"
"91","Gaussian",100,0.5,5,"DP-diffuse",5,"Gaussian_100_0.5_5_DP-diffuse","Gaussian_100_0.5_5"
"92","Gaussian",100,0.5,5,"DP-EB",5,"Gaussian_100_0.5_5_DP-EB","Gaussian_100_0.5_5"
"93","Gaussian",100,0.5,10,"Gaussian",5,"Gaussian_100_0.5_10_Gaussian","Gaussian_100_0.5_10"
"94","Gaussian",100,0.5,10,"T",5,"Gaussian_100_0.5_10_T","Gaussian_100_0.5_10"
"95","Gaussian",100,0.5,10,"DP-diffuse",5,"Gaussian_100_0.5_10_DP-diffuse","Gaussian_100_0.5_10"
"96","Gaussian",100,0.5,10,"DP-EB",5,"Gaussian_100_0.5_10_DP-EB","Gaussian_100_0.5_10"
"97","Gaussian",100,0.9,1,"Gaussian",5,"Gaussian_100_0.9_1_Gaussian","Gaussian_100_0.9_1"
"98","Gaussian",100,0.9,1,"T",5,"Gaussian_100_0.9_1_T","Gaussian_100_0.9_1"
"99","Gaussian",100,0.9,1,"DP-diffuse",5,"Gaussian_100_0.9_1_DP-diffuse","Gaussian_100_0.9_1"
"100","Gaussian",100,0.9,1,"DP-EB",5,"Gaussian_100_0.9_1_DP-EB","Gaussian_100_0.9_1"
"101","Gaussian",100,0.9,5,"Gaussian",5,"Gaussian_100_0.9_5_Gaussian","Gaussian_100_0.9_5"
"102","Gaussian",100,0.9,5,"T",5,"Gaussian_100_0.9_5_T","Gaussian_100_0.9_5"
"103","Gaussian",100,0.9,5,"DP-diffuse",5,"Gaussian_100_0.9_5_DP-diffuse","Gaussian_100_0.9_5"
"104","Gaussian",100,0.9,5,"DP-EB",5,"Gaussian_100_0.9_5_DP-EB","Gaussian_100_0.9_5"
"105","Gaussian",100,0.9,10,"Gaussian",5,"Gaussian_100_0.9_10_Gaussian","Gaussian_100_0.9_10"
"106","Gaussian",100,0.9,10,"T",5,"Gaussian_100_0.9_10_T","Gaussian_100_0.9_10"
"107","Gaussian",100,0.9,10,"DP-diffuse",5,"Gaussian_100_0.9_10_DP-diffuse","Gaussian_100_0.9_10"
"108","Gaussian",100,0.9,10,"DP-EB",5,"Gaussian_100_0.9_10_DP-EB","Gaussian_100_0.9_10"
