"","j_cond","truth","N","ICC","rsr","df","dg_name"
"159",159,"Skew",50,0.5,10,5,"Skew_50_0.5_10"
"160",160,"Skew",50,0.9,1,5,"Skew_50_0.9_1"
"161",161,"Skew",50,0.9,5,5,"Skew_50_0.9_5"
"162",162,"Skew",50,0.9,10,5,"Skew_50_0.9_10"
"163",163,"Skew",100,0.1,1,5,"Skew_100_0.1_1"
"164",164,"Skew",100,0.1,5,5,"Skew_100_0.1_5"
"165",165,"Skew",100,0.1,10,5,"Skew_100_0.1_10"
"166",166,"Skew",100,0.5,1,5,"Skew_100_0.5_1"
"167",167,"Skew",100,0.5,5,5,"Skew_100_0.5_5"
"168",168,"Skew",100,0.5,10,5,"Skew_100_0.5_10"
"169",169,"Skew",100,0.9,1,5,"Skew_100_0.9_1"
"170",170,"Skew",100,0.9,5,5,"Skew_100_0.9_5"
"171",171,"Skew",100,0.9,10,5,"Skew_100_0.9_10"
"172",172,"Skew",200,0.1,1,5,"Skew_200_0.1_1"
"173",173,"Skew",200,0.1,5,5,"Skew_200_0.1_5"
"174",174,"Skew",200,0.1,10,5,"Skew_200_0.1_10"
"175",175,"Skew",200,0.5,1,5,"Skew_200_0.5_1"
"176",176,"Skew",200,0.5,5,5,"Skew_200_0.5_5"
"177",177,"Skew",200,0.5,10,5,"Skew_200_0.5_10"
"178",178,"Skew",200,0.9,1,5,"Skew_200_0.9_1"
"179",179,"Skew",200,0.9,5,5,"Skew_200_0.9_5"
"180",180,"Skew",200,0.9,10,5,"Skew_200_0.9_10"
"181",181,"Mixed",25,0.1,1,5,"Mixed_25_0.1_1"
"182",182,"Mixed",25,0.1,5,5,"Mixed_25_0.1_5"
"183",183,"Mixed",25,0.1,10,5,"Mixed_25_0.1_10"
"184",184,"Mixed",25,0.5,1,5,"Mixed_25_0.5_1"
"185",185,"Mixed",25,0.5,5,5,"Mixed_25_0.5_5"
"186",186,"Mixed",25,0.5,10,5,"Mixed_25_0.5_10"
"187",187,"Mixed",25,0.9,1,5,"Mixed_25_0.9_1"
"188",188,"Mixed",25,0.9,5,5,"Mixed_25_0.9_5"
"189",189,"Mixed",25,0.9,10,5,"Mixed_25_0.9_10"
"190",190,"Mixed",50,0.1,1,5,"Mixed_50_0.1_1"
"191",191,"Mixed",50,0.1,5,5,"Mixed_50_0.1_5"
"192",192,"Mixed",50,0.1,10,5,"Mixed_50_0.1_10"
"193",193,"Mixed",50,0.5,1,5,"Mixed_50_0.5_1"
"194",194,"Mixed",50,0.5,5,5,"Mixed_50_0.5_5"
"195",195,"Mixed",50,0.5,10,5,"Mixed_50_0.5_10"
"196",196,"Mixed",50,0.9,1,5,"Mixed_50_0.9_1"
"197",197,"Mixed",50,0.9,5,5,"Mixed_50_0.9_5"
"198",198,"Mixed",50,0.9,10,5,"Mixed_50_0.9_10"
"199",199,"Mixed",100,0.1,1,5,"Mixed_100_0.1_1"
"200",200,"Mixed",100,0.1,5,5,"Mixed_100_0.1_5"
"201",201,"Mixed",100,0.1,10,5,"Mixed_100_0.1_10"
"202",202,"Mixed",100,0.5,1,5,"Mixed_100_0.5_1"
"203",203,"Mixed",100,0.5,5,5,"Mixed_100_0.5_5"
"204",204,"Mixed",100,0.5,10,5,"Mixed_100_0.5_10"
"205",205,"Mixed",100,0.9,1,5,"Mixed_100_0.9_1"
"206",206,"Mixed",100,0.9,5,5,"Mixed_100_0.9_5"
"207",207,"Mixed",100,0.9,10,5,"Mixed_100_0.9_10"
"208",208,"Mixed",200,0.1,1,5,"Mixed_200_0.1_1"
"209",209,"Mixed",200,0.1,5,5,"Mixed_200_0.1_5"
"210",210,"Mixed",200,0.1,10,5,"Mixed_200_0.1_10"
"211",211,"Mixed",200,0.5,1,5,"Mixed_200_0.5_1"
"212",212,"Mixed",200,0.5,5,5,"Mixed_200_0.5_5"
"213",213,"Mixed",200,0.5,10,5,"Mixed_200_0.5_10"
"214",214,"Mixed",200,0.9,1,5,"Mixed_200_0.9_1"
"215",215,"Mixed",200,0.9,5,5,"Mixed_200_0.9_5"
"216",216,"Mixed",200,0.9,10,5,"Mixed_200_0.9_10"
