"","truth","assumed","rgt","rsr","n","df","fname"
"241","Gaussian","Gaussian",1,10,50,5,"Gaussian_Gaussian_1_10_50"
"242","Gaussian","T",1,10,50,5,"Gaussian_T_1_10_50"
"243","Gaussian","DP",1,10,50,5,"Gaussian_DP_1_10_50"
"244","T","Gaussian",1,10,50,5,"T_Gaussian_1_10_50"
"245","T","T",1,10,50,5,"T_T_1_10_50"
"246","T","DP",1,10,50,5,"T_DP_1_10_50"
"247","Mix","Gaussian",1,10,50,5,"Mix_Gaussian_1_10_50"
"248","Mix","T",1,10,50,5,"Mix_T_1_10_50"
"249","Mix","DP",1,10,50,5,"Mix_DP_1_10_50"
"250","Skew","Gaussian",1,10,50,5,"Skew_Gaussian_1_10_50"
"251","Skew","T",1,10,50,5,"Skew_T_1_10_50"
"252","Skew","DP",1,10,50,5,"Skew_DP_1_10_50"
"253","Gaussian","Gaussian",10,1,50,5,"Gaussian_Gaussian_10_1_50"
"254","Gaussian","T",10,1,50,5,"Gaussian_T_10_1_50"
"255","Gaussian","DP",10,1,50,5,"Gaussian_DP_10_1_50"
"256","T","Gaussian",10,1,50,5,"T_Gaussian_10_1_50"
"257","T","T",10,1,50,5,"T_T_10_1_50"
"258","T","DP",10,1,50,5,"T_DP_10_1_50"
"259","Mix","Gaussian",10,1,50,5,"Mix_Gaussian_10_1_50"
"260","Mix","T",10,1,50,5,"Mix_T_10_1_50"
"261","Mix","DP",10,1,50,5,"Mix_DP_10_1_50"
"262","Skew","Gaussian",10,1,50,5,"Skew_Gaussian_10_1_50"
"263","Skew","T",10,1,50,5,"Skew_T_10_1_50"
"264","Skew","DP",10,1,50,5,"Skew_DP_10_1_50"
"265","Gaussian","Gaussian",10,5,50,5,"Gaussian_Gaussian_10_5_50"
"266","Gaussian","T",10,5,50,5,"Gaussian_T_10_5_50"
"267","Gaussian","DP",10,5,50,5,"Gaussian_DP_10_5_50"
"268","T","Gaussian",10,5,50,5,"T_Gaussian_10_5_50"
"269","T","T",10,5,50,5,"T_T_10_5_50"
"270","T","DP",10,5,50,5,"T_DP_10_5_50"
"271","Mix","Gaussian",10,5,50,5,"Mix_Gaussian_10_5_50"
"272","Mix","T",10,5,50,5,"Mix_T_10_5_50"
"273","Mix","DP",10,5,50,5,"Mix_DP_10_5_50"
"274","Skew","Gaussian",10,5,50,5,"Skew_Gaussian_10_5_50"
"275","Skew","T",10,5,50,5,"Skew_T_10_5_50"
"276","Skew","DP",10,5,50,5,"Skew_DP_10_5_50"
"277","Gaussian","Gaussian",10,10,50,5,"Gaussian_Gaussian_10_10_50"
"278","Gaussian","T",10,10,50,5,"Gaussian_T_10_10_50"
"279","Gaussian","DP",10,10,50,5,"Gaussian_DP_10_10_50"
"280","T","Gaussian",10,10,50,5,"T_Gaussian_10_10_50"
"281","T","T",10,10,50,5,"T_T_10_10_50"
"282","T","DP",10,10,50,5,"T_DP_10_10_50"
"283","Mix","Gaussian",10,10,50,5,"Mix_Gaussian_10_10_50"
"284","Mix","T",10,10,50,5,"Mix_T_10_10_50"
"285","Mix","DP",10,10,50,5,"Mix_DP_10_10_50"
