"","truth","assumed","rgt","rsr","n","df","fname"
"459","Gaussian","DP",0.1,10,200,5,"Gaussian_DP_0.1_10_200"
"460","T","Gaussian",0.1,10,200,5,"T_Gaussian_0.1_10_200"
"461","T","T",0.1,10,200,5,"T_T_0.1_10_200"
"462","T","DP",0.1,10,200,5,"T_DP_0.1_10_200"
"463","Mix","Gaussian",0.1,10,200,5,"Mix_Gaussian_0.1_10_200"
"464","Mix","T",0.1,10,200,5,"Mix_T_0.1_10_200"
"465","Mix","DP",0.1,10,200,5,"Mix_DP_0.1_10_200"
"466","Skew","Gaussian",0.1,10,200,5,"Skew_Gaussian_0.1_10_200"
"467","Skew","T",0.1,10,200,5,"Skew_T_0.1_10_200"
"468","Skew","DP",0.1,10,200,5,"Skew_DP_0.1_10_200"
"469","Gaussian","Gaussian",0.33,1,200,5,"Gaussian_Gaussian_0.33_1_200"
"470","Gaussian","T",0.33,1,200,5,"Gaussian_T_0.33_1_200"
"471","Gaussian","DP",0.33,1,200,5,"Gaussian_DP_0.33_1_200"
"472","T","Gaussian",0.33,1,200,5,"T_Gaussian_0.33_1_200"
"473","T","T",0.33,1,200,5,"T_T_0.33_1_200"
"474","T","DP",0.33,1,200,5,"T_DP_0.33_1_200"
"475","Mix","Gaussian",0.33,1,200,5,"Mix_Gaussian_0.33_1_200"
"476","Mix","T",0.33,1,200,5,"Mix_T_0.33_1_200"
"477","Mix","DP",0.33,1,200,5,"Mix_DP_0.33_1_200"
"478","Skew","Gaussian",0.33,1,200,5,"Skew_Gaussian_0.33_1_200"
"479","Skew","T",0.33,1,200,5,"Skew_T_0.33_1_200"
"480","Skew","DP",0.33,1,200,5,"Skew_DP_0.33_1_200"
"481","Gaussian","Gaussian",0.33,5,200,5,"Gaussian_Gaussian_0.33_5_200"
"482","Gaussian","T",0.33,5,200,5,"Gaussian_T_0.33_5_200"
"483","Gaussian","DP",0.33,5,200,5,"Gaussian_DP_0.33_5_200"
"484","T","Gaussian",0.33,5,200,5,"T_Gaussian_0.33_5_200"
"485","T","T",0.33,5,200,5,"T_T_0.33_5_200"
"486","T","DP",0.33,5,200,5,"T_DP_0.33_5_200"
"487","Mix","Gaussian",0.33,5,200,5,"Mix_Gaussian_0.33_5_200"
"488","Mix","T",0.33,5,200,5,"Mix_T_0.33_5_200"
"489","Mix","DP",0.33,5,200,5,"Mix_DP_0.33_5_200"
"490","Skew","Gaussian",0.33,5,200,5,"Skew_Gaussian_0.33_5_200"
"491","Skew","T",0.33,5,200,5,"Skew_T_0.33_5_200"
"492","Skew","DP",0.33,5,200,5,"Skew_DP_0.33_5_200"
"493","Gaussian","Gaussian",0.33,10,200,5,"Gaussian_Gaussian_0.33_10_200"
"494","Gaussian","T",0.33,10,200,5,"Gaussian_T_0.33_10_200"
"495","Gaussian","DP",0.33,10,200,5,"Gaussian_DP_0.33_10_200"
"496","T","Gaussian",0.33,10,200,5,"T_Gaussian_0.33_10_200"
"497","T","T",0.33,10,200,5,"T_T_0.33_10_200"
"498","T","DP",0.33,10,200,5,"T_DP_0.33_10_200"
"499","Mix","Gaussian",0.33,10,200,5,"Mix_Gaussian_0.33_10_200"
"500","Mix","T",0.33,10,200,5,"Mix_T_0.33_10_200"
"501","Mix","DP",0.33,10,200,5,"Mix_DP_0.33_10_200"
"502","Skew","Gaussian",0.33,10,200,5,"Skew_Gaussian_0.33_10_200"
"503","Skew","T",0.33,10,200,5,"Skew_T_0.33_10_200"
"504","Skew","DP",0.33,10,200,5,"Skew_DP_0.33_10_200"
"505","Gaussian","Gaussian",1,1,200,5,"Gaussian_Gaussian_1_1_200"
"506","Gaussian","T",1,1,200,5,"Gaussian_T_1_1_200"
"507","Gaussian","DP",1,1,200,5,"Gaussian_DP_1_1_200"
"508","T","Gaussian",1,1,200,5,"T_Gaussian_1_1_200"
"509","T","T",1,1,200,5,"T_T_1_1_200"
"510","T","DP",1,1,200,5,"T_DP_1_1_200"
"511","Mix","Gaussian",1,1,200,5,"Mix_Gaussian_1_1_200"
"512","Mix","T",1,1,200,5,"Mix_T_1_1_200"
"513","Mix","DP",1,1,200,5,"Mix_DP_1_1_200"
"514","Skew","Gaussian",1,1,200,5,"Skew_Gaussian_1_1_200"
"515","Skew","T",1,1,200,5,"Skew_T_1_1_200"
"516","Skew","DP",1,1,200,5,"Skew_DP_1_1_200"
"517","Gaussian","Gaussian",1,5,200,5,"Gaussian_Gaussian_1_5_200"
"518","Gaussian","T",1,5,200,5,"Gaussian_T_1_5_200"
"519","Gaussian","DP",1,5,200,5,"Gaussian_DP_1_5_200"
"520","T","Gaussian",1,5,200,5,"T_Gaussian_1_5_200"
"521","T","T",1,5,200,5,"T_T_1_5_200"
"522","T","DP",1,5,200,5,"T_DP_1_5_200"
"523","Mix","Gaussian",1,5,200,5,"Mix_Gaussian_1_5_200"
"524","Mix","T",1,5,200,5,"Mix_T_1_5_200"
"525","Mix","DP",1,5,200,5,"Mix_DP_1_5_200"
"526","Skew","Gaussian",1,5,200,5,"Skew_Gaussian_1_5_200"
"527","Skew","T",1,5,200,5,"Skew_T_1_5_200"
"528","Skew","DP",1,5,200,5,"Skew_DP_1_5_200"
"529","Gaussian","Gaussian",1,10,200,5,"Gaussian_Gaussian_1_10_200"
"530","Gaussian","T",1,10,200,5,"Gaussian_T_1_10_200"
"531","Gaussian","DP",1,10,200,5,"Gaussian_DP_1_10_200"
"532","T","Gaussian",1,10,200,5,"T_Gaussian_1_10_200"
"533","T","T",1,10,200,5,"T_T_1_10_200"
"534","T","DP",1,10,200,5,"T_DP_1_10_200"
"535","Mix","Gaussian",1,10,200,5,"Mix_Gaussian_1_10_200"
"536","Mix","T",1,10,200,5,"Mix_T_1_10_200"
"537","Mix","DP",1,10,200,5,"Mix_DP_1_10_200"
"538","Skew","Gaussian",1,10,200,5,"Skew_Gaussian_1_10_200"
"539","Skew","T",1,10,200,5,"Skew_T_1_10_200"
"540","Skew","DP",1,10,200,5,"Skew_DP_1_10_200"
"541","Gaussian","Gaussian",10,1,200,5,"Gaussian_Gaussian_10_1_200"
"542","Gaussian","T",10,1,200,5,"Gaussian_T_10_1_200"
"543","Gaussian","DP",10,1,200,5,"Gaussian_DP_10_1_200"
"544","T","Gaussian",10,1,200,5,"T_Gaussian_10_1_200"
"545","T","T",10,1,200,5,"T_T_10_1_200"
"546","T","DP",10,1,200,5,"T_DP_10_1_200"
"547","Mix","Gaussian",10,1,200,5,"Mix_Gaussian_10_1_200"
"548","Mix","T",10,1,200,5,"Mix_T_10_1_200"
"549","Mix","DP",10,1,200,5,"Mix_DP_10_1_200"
"550","Skew","Gaussian",10,1,200,5,"Skew_Gaussian_10_1_200"
"551","Skew","T",10,1,200,5,"Skew_T_10_1_200"
"552","Skew","DP",10,1,200,5,"Skew_DP_10_1_200"
"553","Gaussian","Gaussian",10,5,200,5,"Gaussian_Gaussian_10_5_200"
"554","Gaussian","T",10,5,200,5,"Gaussian_T_10_5_200"
"555","Gaussian","DP",10,5,200,5,"Gaussian_DP_10_5_200"
"556","T","Gaussian",10,5,200,5,"T_Gaussian_10_5_200"
"557","T","T",10,5,200,5,"T_T_10_5_200"
"558","T","DP",10,5,200,5,"T_DP_10_5_200"
"559","Mix","Gaussian",10,5,200,5,"Mix_Gaussian_10_5_200"
"560","Mix","T",10,5,200,5,"Mix_T_10_5_200"
"561","Mix","DP",10,5,200,5,"Mix_DP_10_5_200"
"562","Skew","Gaussian",10,5,200,5,"Skew_Gaussian_10_5_200"
"563","Skew","T",10,5,200,5,"Skew_T_10_5_200"
"564","Skew","DP",10,5,200,5,"Skew_DP_10_5_200"
"565","Gaussian","Gaussian",10,10,200,5,"Gaussian_Gaussian_10_10_200"
"566","Gaussian","T",10,10,200,5,"Gaussian_T_10_10_200"
"567","Gaussian","DP",10,10,200,5,"Gaussian_DP_10_10_200"
"568","T","Gaussian",10,10,200,5,"T_Gaussian_10_10_200"
"569","T","T",10,10,200,5,"T_T_10_10_200"
"570","T","DP",10,10,200,5,"T_DP_10_10_200"
"571","Mix","Gaussian",10,10,200,5,"Mix_Gaussian_10_10_200"
"572","Mix","T",10,10,200,5,"Mix_T_10_10_200"
"573","Mix","DP",10,10,200,5,"Mix_DP_10_10_200"
"574","Skew","Gaussian",10,10,200,5,"Skew_Gaussian_10_10_200"
"575","Skew","T",10,10,200,5,"Skew_T_10_10_200"
"576","Skew","DP",10,10,200,5,"Skew_DP_10_10_200"
